"ID;""TAG"";""RAW"";""TOKENS"";""NSW_TOKEN_INDEX"";""GOLD""",,,,,,,,,
"1;""EXPN"";""BBC Radio 4 is the second most popular domestic radio station in the UK ", and is broadcast throughout the United Kingdom on FM , LW and DAB ," and can be received in the north of France and Northern Europe as well"";""43"";""25"";NA",,,,,,
"2;""EXPN"";""The station is available on FM ( in most of Great Britain ", parts of Ireland and the North of France ) , LW ( throughout the United Kingdom and in parts of Northern Europe , and the Atlantic north of the Azores to about 20 degrees west ) , MW ( in some areas ) , DAB , Digital TV ( including Freeview , Freesat , Sky and Virgin Media ) ," and on the Internet"";""77"";""23"";NA"
"3;""EXPN"";""It moved to long wave in 1978 ", taking over the 200 kHz frequency previously held by Radio 2 ," and later moved to 198 kHz as a result of international agreements aimed at avoiding interference"";""36"";""12"";NA",,,,,,,
"4;""EXPN"";""It moved to long wave in 1978 ", taking over the 200 kHz frequency previously held by Radio 2 ," and later moved to 198 kHz as a result of international agreements aimed at avoiding interference"";""36"";""25"";NA",,,,,,,
"5;""EXPN"";""Section 4.1 Senior Announcers Section 4.2 Newsreaders/Continuity announcers Section 4.3 Newsreaders ( non-Today programme ) / Continuity announcers Section 4.4 Newsreaders Section 4.5 Newsreaders ( non-Today programme ) Section 4.6 Continuity announcers Section 4.7 Former staff Section 5 Frequencies and other means of reception Radio 4 is broadcast on : 92â€“95 MHz FM in England ", and from some transmitters in Wales 95.8 MHz in central Scotland 96 MHz in Greater Belfast 103â€“104.5 from other transmitters in Wales and generally in Scotland and Northern Ireland 198 kHz longwave Medium wave in some areas : 720 kHz in London and Northern Ireland 1449 kHz in Aberdeen and North East Scotland DAB Standard FM content Subsidiary LW content , where applicable Freeview channel 704 ( FM only ) The Internet WMA live streaming Digital satellite : Radio 4 FM : Freesat channel 704 Sky channel 104 Radio 4 LW : Freesat channel 710 Sky channel 143 Virgin Media channel 904 ( FM ) , channel 911 ( LW ) Selected other cable television providers ( Also on various frequencies on analogue cable networks ) UPC Ireland channel 910 in Republic of Ireland TalkTalk TV channel 604 Section 6 Criticisms There have been criticisms voiced by newspapers in recent years over a perceived ' liberal ' bias at Radio 4 across a range of issues such as the EU and the Iraq War , as well as sycophancy in interviews ," particularly on the popular morning news magazine ' Today ' as part of a reported perception of a general ' malaise ' at the BBC"";""263"";""51"";NA",,,,
"6;""EXPN"";""Section 4.1 Senior Announcers Section 4.2 Newsreaders/Continuity announcers Section 4.3 Newsreaders ( non-Today programme ) / Continuity announcers Section 4.4 Newsreaders Section 4.5 Newsreaders ( non-Today programme ) Section 4.6 Continuity announcers Section 4.7 Former staff Section 5 Frequencies and other means of reception Radio 4 is broadcast on : 92â€“95 MHz FM in England ", and from some transmitters in Wales 95.8 MHz in central Scotland 96 MHz in Greater Belfast 103â€“104.5 from other transmitters in Wales and generally in Scotland and Northern Ireland 198 kHz longwave Medium wave in some areas : 720 kHz in London and Northern Ireland 1449 kHz in Aberdeen and North East Scotland DAB Standard FM content Subsidiary LW content , where applicable Freeview channel 704 ( FM only ) The Internet WMA live streaming Digital satellite : Radio 4 FM : Freesat channel 704 Sky channel 104 Radio 4 LW : Freesat channel 710 Sky channel 143 Virgin Media channel 904 ( FM ) , channel 911 ( LW ) Selected other cable television providers ( Also on various frequencies on analogue cable networks ) UPC Ireland channel 910 in Republic of Ireland TalkTalk TV channel 604 Section 6 Criticisms There have been criticisms voiced by newspapers in recent years over a perceived ' liberal ' bias at Radio 4 across a range of issues such as the EU and the Iraq War , as well as sycophancy in interviews ," particularly on the popular morning news magazine ' Today ' as part of a reported perception of a general ' malaise ' at the BBC"";""263"";""63"";NA",,,,
"7;""EXPN"";""Section 4.1 Senior Announcers Section 4.2 Newsreaders/Continuity announcers Section 4.3 Newsreaders ( non-Today programme ) / Continuity announcers Section 4.4 Newsreaders Section 4.5 Newsreaders ( non-Today programme ) Section 4.6 Continuity announcers Section 4.7 Former staff Section 5 Frequencies and other means of reception Radio 4 is broadcast on : 92â€“95 MHz FM in England ", and from some transmitters in Wales 95.8 MHz in central Scotland 96 MHz in Greater Belfast 103â€“104.5 from other transmitters in Wales and generally in Scotland and Northern Ireland 198 kHz longwave Medium wave in some areas : 720 kHz in London and Northern Ireland 1449 kHz in Aberdeen and North East Scotland DAB Standard FM content Subsidiary LW content , where applicable Freeview channel 704 ( FM only ) The Internet WMA live streaming Digital satellite : Radio 4 FM : Freesat channel 704 Sky channel 104 Radio 4 LW : Freesat channel 710 Sky channel 143 Virgin Media channel 904 ( FM ) , channel 911 ( LW ) Selected other cable television providers ( Also on various frequencies on analogue cable networks ) UPC Ireland channel 910 in Republic of Ireland TalkTalk TV channel 604 Section 6 Criticisms There have been criticisms voiced by newspapers in recent years over a perceived ' liberal ' bias at Radio 4 across a range of issues such as the EU and the Iraq War , as well as sycophancy in interviews ," particularly on the popular morning news magazine ' Today ' as part of a reported perception of a general ' malaise ' at the BBC"";""263"";""68"";NA",,,,
"8;""EXPN"";""Section 4.1 Senior Announcers Section 4.2 Newsreaders/Continuity announcers Section 4.3 Newsreaders ( non-Today programme ) / Continuity announcers Section 4.4 Newsreaders Section 4.5 Newsreaders ( non-Today programme ) Section 4.6 Continuity announcers Section 4.7 Former staff Section 5 Frequencies and other means of reception Radio 4 is broadcast on : 92â€“95 MHz FM in England ", and from some transmitters in Wales 95.8 MHz in central Scotland 96 MHz in Greater Belfast 103â€“104.5 from other transmitters in Wales and generally in Scotland and Northern Ireland 198 kHz longwave Medium wave in some areas : 720 kHz in London and Northern Ireland 1449 kHz in Aberdeen and North East Scotland DAB Standard FM content Subsidiary LW content , where applicable Freeview channel 704 ( FM only ) The Internet WMA live streaming Digital satellite : Radio 4 FM : Freesat channel 704 Sky channel 104 Radio 4 LW : Freesat channel 710 Sky channel 143 Virgin Media channel 904 ( FM ) , channel 911 ( LW ) Selected other cable television providers ( Also on various frequencies on analogue cable networks ) UPC Ireland channel 910 in Republic of Ireland TalkTalk TV channel 604 Section 6 Criticisms There have been criticisms voiced by newspapers in recent years over a perceived ' liberal ' bias at Radio 4 across a range of issues such as the EU and the Iraq War , as well as sycophancy in interviews ," particularly on the popular morning news magazine ' Today ' as part of a reported perception of a general ' malaise ' at the BBC"";""263"";""86"";NA",,,,
"9;""EXPN"";""Section 4.1 Senior Announcers Section 4.2 Newsreaders/Continuity announcers Section 4.3 Newsreaders ( non-Today programme ) / Continuity announcers Section 4.4 Newsreaders Section 4.5 Newsreaders ( non-Today programme ) Section 4.6 Continuity announcers Section 4.7 Former staff Section 5 Frequencies and other means of reception Radio 4 is broadcast on : 92â€“95 MHz FM in England ", and from some transmitters in Wales 95.8 MHz in central Scotland 96 MHz in Greater Belfast 103â€“104.5 from other transmitters in Wales and generally in Scotland and Northern Ireland 198 kHz longwave Medium wave in some areas : 720 kHz in London and Northern Ireland 1449 kHz in Aberdeen and North East Scotland DAB Standard FM content Subsidiary LW content , where applicable Freeview channel 704 ( FM only ) The Internet WMA live streaming Digital satellite : Radio 4 FM : Freesat channel 704 Sky channel 104 Radio 4 LW : Freesat channel 710 Sky channel 143 Virgin Media channel 904 ( FM ) , channel 911 ( LW ) Selected other cable television providers ( Also on various frequencies on analogue cable networks ) UPC Ireland channel 910 in Republic of Ireland TalkTalk TV channel 604 Section 6 Criticisms There have been criticisms voiced by newspapers in recent years over a perceived ' liberal ' bias at Radio 4 across a range of issues such as the EU and the Iraq War , as well as sycophancy in interviews ," particularly on the popular morning news magazine ' Today ' as part of a reported perception of a general ' malaise ' at the BBC"";""263"";""95"";NA",,,,
"10;""EXPN"";""Section 4.1 Senior Announcers Section 4.2 Newsreaders/Continuity announcers Section 4.3 Newsreaders ( non-Today programme ) / Continuity announcers Section 4.4 Newsreaders Section 4.5 Newsreaders ( non-Today programme ) Section 4.6 Continuity announcers Section 4.7 Former staff Section 5 Frequencies and other means of reception Radio 4 is broadcast on : 92â€“95 MHz FM in England ", and from some transmitters in Wales 95.8 MHz in central Scotland 96 MHz in Greater Belfast 103â€“104.5 from other transmitters in Wales and generally in Scotland and Northern Ireland 198 kHz longwave Medium wave in some areas : 720 kHz in London and Northern Ireland 1449 kHz in Aberdeen and North East Scotland DAB Standard FM content Subsidiary LW content , where applicable Freeview channel 704 ( FM only ) The Internet WMA live streaming Digital satellite : Radio 4 FM : Freesat channel 704 Sky channel 104 Radio 4 LW : Freesat channel 710 Sky channel 143 Virgin Media channel 904 ( FM ) , channel 911 ( LW ) Selected other cable television providers ( Also on various frequencies on analogue cable networks ) UPC Ireland channel 910 in Republic of Ireland TalkTalk TV channel 604 Section 6 Criticisms There have been criticisms voiced by newspapers in recent years over a perceived ' liberal ' bias at Radio 4 across a range of issues such as the EU and the Iraq War , as well as sycophancy in interviews ," particularly on the popular morning news magazine ' Today ' as part of a reported perception of a general ' malaise ' at the BBC"";""263"";""102"";NA",,,,
"11;""EXPN"";""Section 4.1 Senior Announcers Section 4.2 Newsreaders/Continuity announcers Section 4.3 Newsreaders ( non-Today programme ) / Continuity announcers Section 4.4 Newsreaders Section 4.5 Newsreaders ( non-Today programme ) Section 4.6 Continuity announcers Section 4.7 Former staff Section 5 Frequencies and other means of reception Radio 4 is broadcast on : 92â€“95 MHz FM in England ", and from some transmitters in Wales 95.8 MHz in central Scotland 96 MHz in Greater Belfast 103â€“104.5 from other transmitters in Wales and generally in Scotland and Northern Ireland 198 kHz longwave Medium wave in some areas : 720 kHz in London and Northern Ireland 1449 kHz in Aberdeen and North East Scotland DAB Standard FM content Subsidiary LW content , where applicable Freeview channel 704 ( FM only ) The Internet WMA live streaming Digital satellite : Radio 4 FM : Freesat channel 704 Sky channel 104 Radio 4 LW : Freesat channel 710 Sky channel 143 Virgin Media channel 904 ( FM ) , channel 911 ( LW ) Selected other cable television providers ( Also on various frequencies on analogue cable networks ) UPC Ireland channel 910 in Republic of Ireland TalkTalk TV channel 604 Section 6 Criticisms There have been criticisms voiced by newspapers in recent years over a perceived ' liberal ' bias at Radio 4 across a range of issues such as the EU and the Iraq War , as well as sycophancy in interviews ," particularly on the popular morning news magazine ' Today ' as part of a reported perception of a general ' malaise ' at the BBC"";""263"";""114"";NA",,,,
"12;""EXPN"";""Section 4.1 Senior Announcers Section 4.2 Newsreaders/Continuity announcers Section 4.3 Newsreaders ( non-Today programme ) / Continuity announcers Section 4.4 Newsreaders Section 4.5 Newsreaders ( non-Today programme ) Section 4.6 Continuity announcers Section 4.7 Former staff Section 5 Frequencies and other means of reception Radio 4 is broadcast on : 92â€“95 MHz FM in England ", and from some transmitters in Wales 95.8 MHz in central Scotland 96 MHz in Greater Belfast 103â€“104.5 from other transmitters in Wales and generally in Scotland and Northern Ireland 198 kHz longwave Medium wave in some areas : 720 kHz in London and Northern Ireland 1449 kHz in Aberdeen and North East Scotland DAB Standard FM content Subsidiary LW content , where applicable Freeview channel 704 ( FM only ) The Internet WMA live streaming Digital satellite : Radio 4 FM : Freesat channel 704 Sky channel 104 Radio 4 LW : Freesat channel 710 Sky channel 143 Virgin Media channel 904 ( FM ) , channel 911 ( LW ) Selected other cable television providers ( Also on various frequencies on analogue cable networks ) UPC Ireland channel 910 in Republic of Ireland TalkTalk TV channel 604 Section 6 Criticisms There have been criticisms voiced by newspapers in recent years over a perceived ' liberal ' bias at Radio 4 across a range of issues such as the EU and the Iraq War , as well as sycophancy in interviews ," particularly on the popular morning news magazine ' Today ' as part of a reported perception of a general ' malaise ' at the BBC"";""263"";""146"";NA",,,,
"13;""EXPN"";""Section 4.1 Senior Announcers Section 4.2 Newsreaders/Continuity announcers Section 4.3 Newsreaders ( non-Today programme ) / Continuity announcers Section 4.4 Newsreaders Section 4.5 Newsreaders ( non-Today programme ) Section 4.6 Continuity announcers Section 4.7 Former staff Section 5 Frequencies and other means of reception Radio 4 is broadcast on : 92â€“95 MHz FM in England ", and from some transmitters in Wales 95.8 MHz in central Scotland 96 MHz in Greater Belfast 103â€“104.5 from other transmitters in Wales and generally in Scotland and Northern Ireland 198 kHz longwave Medium wave in some areas : 720 kHz in London and Northern Ireland 1449 kHz in Aberdeen and North East Scotland DAB Standard FM content Subsidiary LW content , where applicable Freeview channel 704 ( FM only ) The Internet WMA live streaming Digital satellite : Radio 4 FM : Freesat channel 704 Sky channel 104 Radio 4 LW : Freesat channel 710 Sky channel 143 Virgin Media channel 904 ( FM ) , channel 911 ( LW ) Selected other cable television providers ( Also on various frequencies on analogue cable networks ) UPC Ireland channel 910 in Republic of Ireland TalkTalk TV channel 604 Section 6 Criticisms There have been criticisms voiced by newspapers in recent years over a perceived ' liberal ' bias at Radio 4 across a range of issues such as the EU and the Iraq War , as well as sycophancy in interviews ," particularly on the popular morning news magazine ' Today ' as part of a reported perception of a general ' malaise ' at the BBC"";""263"";""165"";NA",,,,
"14;""EXPN"";""It is the largest note measuring 160x82mm and has a purple colour scheme"";""13"";""6"";NA",,,,,,,,,
"15;""EXPN"";""Design The five hundred euro note measures at 160 millimetres ( 6.3 in. ) Ã— 82 millimetres ( 3.2 in. ) with a purple colour scheme"";""26"";""12"";NA",,,,,,,,,
"16;""EXPN"";""Design The five hundred euro note measures at 160 millimetres ( 6.3 in. ) Ã— 82 millimetres ( 3.2 in. ) with a purple colour scheme"";""26"";""19"";NA",,,,,
"17;""EXPN"";""The county town is Dorchester "," centred in the south of the county at 50Â°43â€²00 â€³ N 02Â°26â€²00 â€³ W"";""20"";""16"";NA",,,,
"18;""EXPN"";""The county town is Dorchester "," centred in the south of the county at 50Â°43â€²00 â€³ N 02Â°26â€²00 â€³ W"";""20"";""19"";NA",,,,
"19;""EXPN"";""At the widest points ", the county is 50 miles ( 80 km ) from east to west and 40 miles ( 64 km ) from north south ," with an area of 1024 square miles ( 2653 kmÂ² )"";""40"";""38"";NA",,,
"20;""EXPN"";""At the widest points ", the county is 50 miles ( 80 km ) from east to west and 40 miles ( 64 km ) from north south ," with an area of 1024 square miles ( 2653 kmÂ² )"";""40"";""23"";NA",,,
"21;""EXPN"";""At the widest points ", the county is 50 miles ( 80 km ) from east to west and 40 miles ( 64 km ) from north south ," with an area of 1024 square miles ( 2653 kmÂ² )"";""40"";""12"";NA",,,
"22;""EXPN"";""Pilsdon Pen ", the highest hill in Dorset at 909 ft ( 277 m ) ," is situated here"";""19"";""10"";NA",,,
"23;""EXPN"";""Pilsdon Pen ", the highest hill in Dorset at 909 ft ( 277 m ) ," is situated here"";""19"";""13"";NA",,,
"24;""EXPN"";""In 2002 ", 1903 kmÂ² of the county was in agricultural use , down from 1986 kmÂ² in 1989 ," although the figure has fluctuated somewhat"";""26"";""4"";NA",,
"25;""EXPN"";""In 2002 ", 1903 kmÂ² of the county was in agricultural use , down from 1986 kmÂ² in 1989 ," although the figure has fluctuated somewhat"";""26"";""16"";NA",,
"26;""EXPN"";""The other two major settlements in the county are Dorchester ", the county town , and Weymouth , one of the first tourist towns , frequented by George III ," and still popular"";""33"";""28"";NA"
"27;""EXPN"";""Zinc Zinc ( / _z__k / ZINGK ; from German : Zink ) ", or spelter ( which may also refer to zinc alloys ) ," is a metallic chemical element ; it has the symbol Zn and atomic number 30"";""41"";""36"";NA",,,
"28;""EXPN"";""The metal is hard and brittle at most temperatures but becomes malleable between 100 and 150 Â°C"";""17"";""16"";NA",,,,,
"29;""EXPN"";""Above 210 Â°C "," the metal becomes brittle again and can be pulverized by beating"";""15"";""2"";NA",,,,
"30;""EXPN"";""For a metal ", zinc has relatively low melting ( 419.5 Â°C ," 787.1 F ) and boiling points ( 907 Â°C )"";""23"";""11"";NA",,,
"31;""EXPN"";""For a metal ", zinc has relatively low melting ( 419.5 Â°C ," 787.1 F ) and boiling points ( 907 Â°C )"";""23"";""14"";NA",,,
"32;""EXPN"";""For a metal ", zinc has relatively low melting ( 419.5 Â°C ," 787.1 F ) and boiling points ( 907 Â°C )"";""23"";""21"";NA",
"33;""EXPN"";""While neither zinc nor zirconium are ferromagnetic ", their alloy ZrZn2 exhibits ferromagnetism below 35 K. Section 1.1 Occurrence Zinc makes up about 75 ppm ( 0.0075% ) of the Earth's crust ," making it the 24th most abundant element"";""40"";""15"";NA",
"34;""EXPN"";""While neither zinc nor zirconium are ferromagnetic ", their alloy ZrZn2 exhibits ferromagnetism below 35 K. Section 1.1 Occurrence Zinc makes up about 75 ppm ( 0.0075% ) of the Earth's crust ," making it the 24th most abundant element"";""40"";""10"";NA",
"35;""EXPN"";""While neither zinc nor zirconium are ferromagnetic ", their alloy ZrZn2 exhibits ferromagnetism below 35 K. Section 1.1 Occurrence Zinc makes up about 75 ppm ( 0.0075% ) of the Earth's crust ," making it the 24th most abundant element"";""40"";""24"";NA",
"36;""EXPN"";""While neither zinc nor zirconium are ferromagnetic ", their alloy ZrZn2 exhibits ferromagnetism below 35 K. Section 1.1 Occurrence Zinc makes up about 75 ppm ( 0.0075% ) of the Earth's crust ," making it the 24th most abundant element"";""40"";""24"";NA",
"37;""EXPN"";""Soil contains 5â€“770 ppm of zinc with an average of 64 ppm. Seawater has only 30 ppb zinc and the atmosphere contains 0.1â€“4 Âµg/m3"";""24"";""11"";NA",,,
"38;""EXPN"";""Soil contains 5â€“770 ppm of zinc with an average of 64 ppm. Seawater has only 30 ppb zinc and the atmosphere contains 0.1â€“4 Âµg/m3"";""24"";""16"";NA",,,
"39;""EXPN"";""Soil contains 5â€“770 ppm of zinc with an average of 64 ppm. Seawater has only 30 ppb zinc and the atmosphere contains 0.1â€“4 Âµg/m3"";""24"";""23"";NA",,,
"40;""EXPN"";""64Zn is the most abundant isotope ( 48.63% natural abundance )"";""11"";""0"";NA",,,
"41;""EXPN"";""Similarly ", 70Zn ( 0.6% ) ," with a half-life of 1.3x10^16 years is not usually considered to be radioactive"";""20"";""2"";NA",
"42;""EXPN"";""The other isotopes found in nature are 66Zn ( 0.28 ) "," 67Zn ( 0.04 ) and 68Zn ( 0.19 )"";""21"";""12"";NA",,
"43;""EXPN"";""The other isotopes found in nature are 66Zn ( 0.28 ) "," 67Zn ( 0.04 ) and 68Zn ( 0.19 )"";""21"";""7"";NA",,
"44;""EXPN"";""The other isotopes found in nature are 66Zn ( 0.28 ) "," 67Zn ( 0.04 ) and 68Zn ( 0.19 )"";""21"";""17"";NA",,
"45;""EXPN"";""65Zn ", which has a half-life of 243.66 days , is the most long-lived isotope ," followed by 72Zn with a half-life of 46.5 hours"";""25"";""0"";NA"
"46;""EXPN"";""65Zn ", which has a half-life of 243.66 days , is the most long-lived isotope ," followed by 72Zn with a half-life of 46.5 hours"";""25"";""18"";NA"
"47;""EXPN"";""69mZn has the longest half-life "," 13.76 h. The superscript m indicates a metastable isotope"";""15"";""7"";NA",,
"48;""EXPN"";""61Zn has three excited states and 73Zn has two"";""9"";""0"";NA",,,,,,
"49;""EXPN"";""61Zn has three excited states and 73Zn has two"";""9"";""6"";NA",,,,,,
"50;""EXPN"";""In aqueous solution an octahedral complex "," [ Zn ( H2O ) 6 ] 2+ is the predominant species"";""19"";""8"";NA",,,,,
"51;""HTAG"";""#Apple heads to trial over iTunes update #AAPL http://t.co/BevWxGyCVk"";""9"";""1"";NA",,,,,,
"52;""HTAG"";""#Apple heads to trial over iTunes update #AAPL http://t.co/BevWxGyCVk"";""9"";""7"";NA",,,,,,
"53;""LSEQ"";""BBC Radio 4 BBC Radio 4 is a British domestic radio station ", operated and owned by the British Broadcasting Corporation ( BBC ) , that broadcasts a wide variety of spoken-word programmes , including news , drama , comedy ," science and history"";""44"";""0"";NA"
"54;""LSEQ"";""BBC Radio 4 BBC Radio 4 is a British domestic radio station ", operated and owned by the British Broadcasting Corporation ( BBC ) , that broadcasts a wide variety of spoken-word programmes , including news , drama , comedy ," science and history"";""44"";""3"";NA"
"55;""LSEQ"";""BBC Radio 4 BBC Radio 4 is a British domestic radio station ", operated and owned by the British Broadcasting Corporation ( BBC ) , that broadcasts a wide variety of spoken-word programmes , including news , drama , comedy ," science and history"";""44"";""22"";NA"
"56;""LSEQ"";""It replaced the BBC Home Service in 1967"";""8"";""3"";NA",,,,,,
"57;""LSEQ"";""The station controller is Gwyneth Williams "," and the station is part of BBC Radio and the BBC Audio & Music department"";""22"";""13"";NA",,,,,
"58;""LSEQ"";""The station controller is Gwyneth Williams "," and the station is part of BBC Radio and the BBC Audio & Music department"";""22"";""17"";NA",,,,,
"59;""LSEQ"";""The station is broadcast from the BBC's headquarters at Broadcasting House "," London"";""13"";""6"";NA",,,,,
"60;""LSEQ"";""BBC Radio 4 is the second most popular domestic radio station in the UK ", and is broadcast throughout the United Kingdom on FM , LW and DAB ," and can be received in the north of France and Northern Europe as well"";""43"";""13"";NA",,,
"61;""LSEQ"";""BBC Radio 4 is the second most popular domestic radio station in the UK ", and is broadcast throughout the United Kingdom on FM , LW and DAB ," and can be received in the north of France and Northern Europe as well"";""43"";""23"";NA",,,
"62;""LSEQ"";""BBC Radio 4 is the second most popular domestic radio station in the UK ", and is broadcast throughout the United Kingdom on FM , LW and DAB ," and can be received in the north of France and Northern Europe as well"";""43"";""27"";NA",,,
"63;""LSEQ"";""BBC Radio 4 is the second most popular domestic radio station in the UK ", and is broadcast throughout the United Kingdom on FM , LW and DAB ," and can be received in the north of France and Northern Europe as well"";""43"";""0"";NA",,,
"64;""LSEQ"";""Radio 4's sister station ", BBC Radio 4 Extra ( formerly known as BBC 7 ) , complements the main channel by broadcasting repeats from the Radio 4 archive ," extended versions of Radio 4 programmes and supplements to series such as The Archers and Desert Island Discs"";""48"";""13"";NA",,,,,,
"65;""LSEQ"";""Radio 4's sister station ", BBC Radio 4 Extra ( formerly known as BBC 7 ) , complements the main channel by broadcasting repeats from the Radio 4 archive ," extended versions of Radio 4 programmes and supplements to series such as The Archers and Desert Island Discs"";""48"";""5"";NA",,,,,,
"66;""LSEQ"";""BBC Radio 4 is notable for its consistent news bulletins and programmes such as Today and The World at One "," which are heralded on air by the Greenwich Time Signal ' pips ' or the chimes of Big Ben"";""40"";""0"";NA",,,,,,,,
"67;""LSEQ"";""[ citation needed ] The station recorded its highest ever audience of 11 million listeners in May 2011 and was named ' UK Radio Station of the Year ' at the 2003 "," 2004 and 2008 Sony Radio Academy Awards"";""40"";""22"";NA",,,,,,,,
"68;""LSEQ"";""Costing Â£71.4 million ( 2005/6 ) "," it is the BBC's most expensive national radio network and is considered by many to be the corporation's flagship"";""26"";""10"";NA",,,,,,,,
